,1st,2nd,3rd,4th,5th
Cluster0,"('Reference', 115)","('Economics', 101)","('Romance', 72)","('Classics', 59)","('Historical Fiction', 56)"
Cluster1,"('Reference', 20)","('Economics', 15)","('Analysis', 14)","('Philosophy', 14)","('Historical Fiction', 13)"
Cluster2,"('Biography', 137)","('Adventure', 131)","('Romance', 128)","('Memoirs', 126)","('Satire', 126)"
Cluster3,"('Economics', 37)","('Reference', 32)","('Biography', 22)","('Historical Fiction', 22)","('Philosophy', 22)"
Cluster4,"('Economics', 13)","('Historical Fiction', 13)","('Adventure', 12)","('Crime & Mystery', 11)","('Fantasy', 11)"
Cluster5,"('Economics', 71)","('Reference', 69)","('Romance', 51)","('Classics', 42)","('Tragedy', 35)"
Cluster6,"('Memoirs', 95)","('Biography', 84)","('Reference', 72)","('Economics', 69)","('Historical Fiction', 62)"
Cluster7,"('Historical Fiction', 13)","('Reference', 13)","('Philosophy', 10)","('Economics', 9)","('Analysis', 6)"
Cluster8,"('Historical Fiction', 20)","('Economics', 18)","('Analysis', 15)","('Reference', 14)","('Classics', 12)"
Cluster9,"('Adventure', 139)","('Historical Fiction', 132)","('Classics', 115)","('Biography', 113)","('Romance', 91)"
Cluster10,"('Reference', 75)","('Memoirs', 57)","('Romance', 54)","('Philosophy', 52)","('Satire', 50)"
Cluster11,"('Economics', 76)","('Reference', 72)","('Classics', 56)","('Romance', 56)","('Historical Fiction', 46)"
Cluster12,"('Reference', 119)","('Economics', 102)","('Romance', 88)","('Satire', 88)","('Memoirs', 84)"
Cluster13,"('Reference', 46)","('Romance', 42)","('Economics', 32)","('Analysis', 28)","('Classics', 28)"
Cluster14,"('Memoirs', 165)","('Biography', 145)","('Adventure', 139)","('Historical Fiction', 133)","('Romance', 130)"
Cluster15,"('Reference', 16)","('Satire', 14)","('Economics', 13)","('Adventure', 12)","('Historical Fiction', 12)"
Cluster16,"('Historical Fiction', 13)","('Reference', 8)","('Adventure', 7)","('Analysis', 7)","('Classics', 7)"
Cluster17,"('Memoirs', 146)","('Biography', 122)","('Economics', 113)","('Adventure', 112)","('Satire', 111)"
Cluster18,"('Biography', 120)","('Classics', 116)","('Adventure', 108)","('Historical Fiction', 103)","('Romance', 103)"
Cluster19,"('Economics', 28)","('Reference', 24)","('Analysis', 22)","('Humor', 14)","('Philosophy', 12)"
