,1st,2nd,3rd,4th,5th
Cluster0,"('Adventure', 67)","('Memoirs', 66)","('Reference', 63)","('Romance', 63)","('Biography', 62)"
Cluster1,"('Reference', 17)","('Memoirs', 15)","('Adventure', 14)","('Economics', 14)","('Philosophy', 12)"
Cluster2,"('Historical Fiction', 51)","('Reference', 46)","('Adventure', 44)","('Biography', 44)","('Economics', 39)"
Cluster3,"('Classics', 90)","('Memoirs', 88)","('Historical Fiction', 86)","('Reference', 84)","('Romance', 84)"
Cluster4,"('Reference', 17)","('Romance', 17)","('Satire', 15)","('Memoirs', 14)","('Classics', 13)"
Cluster5,"('Historical Fiction', 13)","('Biography', 9)","('Adventure', 8)","('Fictional Diaries', 7)","('Reference', 7)"
Cluster6,"('Classics', 18)","('Biography', 16)","('Satire', 16)","('Memoirs', 14)","('Romance', 14)"
Cluster7,"('Economics', 132)","('Memoirs', 126)","('Adventure', 123)","('Classics', 123)","('Romance', 121)"
Cluster8,"('Biography', 90)","('Memoirs', 89)","('Romance', 88)","('Adventure', 83)","('Economics', 82)"
Cluster9,"('Adventure', 12)","('Classics', 9)","('Romance', 8)","('Satire', 7)","('Economics', 6)"
Cluster10,"('Economics', 50)","('Reference', 43)","('Biography', 40)","('Satire', 38)","('Romance', 35)"
Cluster11,"('Biography', 38)","('Adventure', 33)","('Memoirs', 32)","('Romance', 27)","('Classics', 25)"
Cluster12,"('Memoirs', 92)","('Economics', 88)","('Adventure', 86)","('Reference', 78)","('Historical Fiction', 77)"
Cluster13,"('Classics', 86)","('Adventure', 75)","('Historical Fiction', 75)","('Romance', 75)","('Memoirs', 72)"
Cluster14,"('Adventure', 58)","('Classics', 54)","('Romance', 53)","('Economics', 47)","('Memoirs', 46)"
Cluster15,"('Romance', 144)","('Economics', 142)","('Reference', 142)","('Memoirs', 135)","('Satire', 126)"
Cluster16,"('Economics', 48)","('Classics', 42)","('Biography', 40)","('Romance', 38)","('Historical Fiction', 36)"
Cluster17,"('Classics', 111)","('Economics', 111)","('Historical Fiction', 108)","('Biography', 104)","('Satire', 103)"
Cluster18,"('Philosophy', 11)","('Romance', 11)","('Adventure', 10)","('Biography', 10)","('Memoirs', 10)"
Cluster19,"('Classics', 22)","('Biography', 17)","('Reference', 15)","('Historical Fiction', 14)","('Satire', 11)"
Cluster20,"('Historical Fiction', 12)","('Adventure', 11)","('Biography', 10)","('Classics', 10)","('Romance', 9)"
Cluster21,"('Historical Fiction', 16)","('Adventure', 13)","('Humor', 13)","('Memoirs', 13)","('Classics', 12)"
